Strategy,Symbol,Interval,Total Trades,Win Rate %,Profit Factor,Total PnL %,Sharpe Ratio,Max Drawdown %,Avg Trade Duration (min),Status,Error
chande-momentum-crypto,XRPUSDT,1d,28,82.14,3.79,20.05,9.04,3.58,44845.71,success,
chande-momentum-crypto,ADAUSDT,4h,182,50.00,1.16,7.33,1.08,11.50,7145.93,success,
chande-momentum-crypto,ADAUSDT,6h,139,53.96,1.31,13.41,1.50,6.58,8311.08,success,
chande-momentum-crypto,ADAUSDT,8h,103,54.37,1.08,3.13,0.04,9.81,13160.39,success,
chande-momentum-crypto,ADAUSDT,12h,69,56.52,1.10,2.80,0.51,9.85,23154.78,success,
chande-momentum-crypto,ADAUSDT,1d,26,69.23,2.51,14.65,5.99,5.98,34449.23,success,
chande-momentum-crypto,XLMUSDT,4h,177,50.28,1.03,0.18,0.25,14.50,6978.98,success,
chande-momentum-crypto,XLMUSDT,6h,118,51.69,0.83,-7.60,-1.57,15.88,9103.73,success,
chande-momentum-crypto,XLMUSDT,8h,85,58.82,1.27,8.57,1.40,9.78,16111.06,success,
chande-momentum-crypto,XLMUSDT,12h,64,56.25,1.06,1.57,-0.03,13.83,24018.75,success,
chande-momentum-crypto,XLMUSDT,1d,24,58.33,0.72,-4.89,-2.11,8.44,57480.00,success,
chande-momentum-crypto,XMRUSDT,4h,140,46.43,0.93,-3.45,0.15,7.63,7266.86,success,
chande-momentum-crypto,XMRUSDT,6h,82,52.44,1.34,6.68,1.88,5.26,11743.90,success,
chande-momentum-crypto,XMRUSDT,8h,75,52.00,1.23,4.90,1.76,8.56,15616.00,success,
chande-momentum-crypto,XMRUSDT,12h,52,59.62,1.26,4.38,1.32,7.23,27844.62,success,
chande-momentum-crypto,XMRUSDT,1d,14,35.71,0.64,-3.98,-2.79,7.41,72720.00,success,
chande-momentum-crypto,NEARUSDT,4h,188,49.47,0.96,-3.76,-0.51,16.81,5673.19,success,
chande-momentum-crypto,NEARUSDT,6h,128,47.66,0.70,-19.47,-2.33,26.76,11084.06,success,
chande-momentum-crypto,NEARUSDT,8h,89,49.44,0.81,-8.68,-1.31,15.31,14707.42,success,
chande-momentum-crypto,NEARUSDT,12h,61,47.54,0.91,-3.71,-0.55,15.93,22095.74,success,
chande-momentum-crypto,NEARUSDT,1d,28,67.86,2.10,16.61,4.95,8.09,49782.86,success,
chande-momentum-crypto,UNIUSDT,4h,188,54.79,1.33,19.57,2.18,10.41,6098.30,success,
chande-momentum-crypto,UNIUSDT,6h,118,52.54,1.17,7.03,0.91,9.30,9744.41,success,
chande-momentum-crypto,UNIUSDT,8h,91,52.75,1.13,4.59,0.70,9.95,12733.19,success,
chande-momentum-crypto,UNIUSDT,12h,65,46.15,0.52,-21.78,-3.41,34.63,20248.62,success,
chande-momentum-crypto,UNIUSDT,1d,25,52.00,1.01,0.00,0.15,14.10,57369.60,success,
chande-momentum-crypto,HBARUSDT,4h,195,55.38,1.24,14.40,1.25,7.75,5704.62,success,
chande-momentum-crypto,HBARUSDT,6h,130,55.38,1.28,11.67,1.55,6.62,7856.31,success,
chande-momentum-crypto,HBARUSDT,8h,78,51.28,1.03,0.49,-0.25,12.28,13163.08,success,
chande-momentum-crypto,HBARUSDT,12h,68,45.59,0.62,-17.88,-2.86,20.10,22838.82,success,
chande-momentum-crypto,HBARUSDT,1d,35,48.57,0.74,-8.54,-1.80,23.47,52539.43,success,
chande-momentum-crypto,TRXUSDT,4h,200,51.00,1.03,-0.68,0.15,6.08,5871.60,success,
chande-momentum-crypto,TRXUSDT,6h,126,53.97,1.27,4.93,1.49,4.54,7622.86,success,
chande-momentum-crypto,TRXUSDT,8h,96,45.83,0.70,-7.22,-1.90,12.78,11865.00,success,
chande-momentum-crypto,TRXUSDT,12h,63,42.86,1.22,3.10,1.24,6.03,19565.71,success,
chande-momentum-crypto,TRXUSDT,1d,27,37.04,0.60,-3.82,-4.06,6.55,27840.00,success,
chande-momentum-crypto,ZECUSDT,4h,165,50.91,0.85,-11.23,-0.73,22.37,6909.09,success,
chande-momentum-crypto,ZECUSDT,6h,122,43.44,0.89,-5.93,-0.73,18.41,10929.84,success,
chande-momentum-crypto,ZECUSDT,8h,85,55.29,1.68,21.64,3.36,10.68,15247.06,success,
chande-momentum-crypto,ZECUSDT,12h,70,52.86,0.74,-10.74,-1.93,18.01,20550.86,success,
chande-momentum-crypto,ZECUSDT,1d,37,54.05,1.53,14.49,3.06,9.97,48220.54,success,
chande-momentum-crypto,LTCUSDT,4h,172,51.16,0.92,-5.19,-0.08,15.27,7664.65,success,
chande-momentum-crypto,LTCUSDT,6h,126,51.59,1.22,7.07,0.96,10.35,11540.00,success,
chande-momentum-crypto,LTCUSDT,8h,102,60.78,1.20,6.84,1.42,15.01,17265.88,success,
chande-momentum-crypto,LTCUSDT,12h,62,45.16,0.93,-2.51,-0.23,13.36,27940.65,success,
chande-momentum-crypto,LTCUSDT,1d,25,44.00,0.84,-2.05,-1.21,4.12,44179.20,success,
chande-momentum-crypto,AAVEUSDT,4h,164,50.00,0.85,-10.62,-1.03,15.49,7286.34,success,
chande-momentum-crypto,AAVEUSDT,6h,109,53.21,1.00,-0.78,0.08,15.63,10258.35,success,
chande-momentum-crypto,AAVEUSDT,8h,84,45.24,0.73,-12.23,-2.45,23.01,12651.43,success,
