strategy,symbol,interval,total_trades,win_rate,profit_factor,total_pnl_percent,max_drawdown_percent,sharpe_ratio,status
bitcoin-macd-momentum,SOLUSDT,1w,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,XRPUSDT,1h,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,XRPUSDT,4h,0,0,0,0,0,0,failed
bitcoin-macd-momentum,XRPUSDT,1d,0,0,0,0,0,0,no_trades
bitcoin-macd-momentum,XRPUSDT,1w,0,0,0,0,0,0,no_trades
bollinger-breakout-crypto,BTCUSDT,1h,181,44.75,0.98,-9.01,12.26,0,completed
bollinger-breakout-crypto,BTCUSDT,4h,61,44.26,1.10,-1.12,7.66,0,completed
bollinger-breakout-crypto,BTCUSDT,1d,17,58.82,2.02,6.68,2.87,0,completed
bollinger-breakout-crypto,BTCUSDT,1w,1,0.00,0.00,-1.81,1.81,0,completed
bollinger-breakout-crypto,ETHUSDT,1h,148,42.57,0.91,-9.40,10.72,0,completed
bollinger-breakout-crypto,ETHUSDT,4h,42,47.62,1.28,2.22,4.51,0,completed
bollinger-breakout-crypto,ETHUSDT,1d,14,42.86,0.69,-3.76,6.04,0,completed
bollinger-breakout-crypto,ETHUSDT,1w,2,50.00,2.32,4.23,3.07,0,completed
bollinger-breakout-crypto,SOLUSDT,1h,174,45.40,1.00,-7.92,14.41,0,completed
bollinger-breakout-crypto,SOLUSDT,4h,64,46.88,1.04,-1.56,6.94,0,completed
bollinger-breakout-crypto,SOLUSDT,1d,15,60.00,2.16,9.22,4.79,0,completed
bollinger-breakout-crypto,SOLUSDT,1w,3,66.67,16.96,9.46,0.58,0,completed
bollinger-breakout-crypto,XRPUSDT,1h,139,32.37,0.56,-21.98,23.96,0,completed
bollinger-breakout-crypto,XRPUSDT,4h,62,30.65,0.59,-15.47,16.33,0,completed
bollinger-breakout-crypto,XRPUSDT,1d,10,50.00,1.86,3.29,2.06,0,completed
bollinger-breakout-crypto,XRPUSDT,1w,1,100.00,Infinity,0.93,0.00,0,completed
breakout-retest,BTCUSDT,1h,971,40.06,0.55,-66.40,66.70,0,completed
breakout-retest,BTCUSDT,4h,295,46.44,0.59,-33.91,33.91,0,completed
breakout-retest,BTCUSDT,1d,86,60.47,0.57,-18.33,20.75,0,completed
breakout-retest,BTCUSDT,1w,4,75.00,0.94,-0.33,3.32,0,completed
breakout-retest,ETHUSDT,1h,916,44.10,0.55,-66.45,66.52,0,completed
breakout-retest,ETHUSDT,4h,306,51.31,0.60,-39.68,41.66,0,completed
breakout-retest,ETHUSDT,1d,84,55.95,0.70,-15.10,18.13,0,completed
breakout-retest,ETHUSDT,1w,2,50.00,1.19,0.12,1.04,0,completed
breakout-retest,SOLUSDT,1h,1026,46.78,0.58,-76.27,76.92,0,completed
breakout-retest,SOLUSDT,4h,321,59.50,0.77,-32.70,36.87,0,completed
breakout-retest,SOLUSDT,1d,83,69.88,0.86,-8.41,16.74,0,completed
breakout-retest,SOLUSDT,1w,0,0,0,0,0,0,no_trades
breakout-retest,XRPUSDT,1h,982,41.96,0.53,-71.37,71.50,0,completed
breakout-retest,XRPUSDT,4h,287,56.79,0.94,-15.08,23.57,0,completed
breakout-retest,XRPUSDT,1d,81,59.26,0.62,-16.47,20.40,0,completed
breakout-retest,XRPUSDT,1w,7,71.43,1.35,2.16,4.90,0,completed
bull-trap,BTCUSDT,1h,389,34.96,0.43,-41.78,43.64,0,completed
bull-trap,BTCUSDT,4h,108,56.48,1.06,-4.15,6.23,0,completed
bull-trap,BTCUSDT,1d,28,42.86,0.37,-7.87,8.61,0,completed
bull-trap,BTCUSDT,1w,2,50.00,0.27,-2.47,3.32,0,completed
bull-trap,ETHUSDT,1h,380,38.42,0.61,-34.29,35.10,0,completed
bull-trap,ETHUSDT,4h,125,48.80,0.80,-11.12,11.96,0,completed
bull-trap,ETHUSDT,1d,37,62.16,1.18,0.96,4.65,0,completed
bull-trap,ETHUSDT,1w,4,25.00,0.31,-2.41,3.34,0,completed
bull-trap,SOLUSDT,1h,393,42.24,0.58,-40.98,40.98,0,completed
bull-trap,SOLUSDT,4h,122,58.20,0.79,-11.32,17.03,0,completed
bull-trap,SOLUSDT,1d,29,55.17,0.74,-4.96,10.59,0,completed
bull-trap,SOLUSDT,1w,3,100.00,Infinity,3.26,0.00,0,completed
bull-trap,XRPUSDT,1h,353,43.06,0.57,-36.00,36.44,0,completed
bull-trap,XRPUSDT,4h,130,43.08,0.56,-19.98,21.40,0,completed
bull-trap,XRPUSDT,1d,23,47.83,0.47,-5.97,6.64,0,completed
bull-trap,XRPUSDT,1w,4,25.00,0.05,-10.50,10.50,0,completed
cci-optimized-daily,BTCUSDT,1h,250,39.60,0.45,-27.61,27.61,0,completed
cci-optimized-daily,BTCUSDT,4h,98,63.27,1.08,-3.34,7.57,0,completed
cci-optimized-daily,BTCUSDT,1d,57,52.63,0.97,-2.62,6.80,0,completed
cci-optimized-daily,BTCUSDT,1w,0,0,0,0,0,0,no_trades
cci-optimized-daily,ETHUSDT,1h,243,46.50,0.52,-24.64,24.64,0,completed
cci-optimized-daily,ETHUSDT,4h,59,38.98,0.28,-16.30,16.62,0,completed
cci-optimized-daily,ETHUSDT,1d,41,73.17,1.56,3.49,4.27,0,completed
cci-optimized-daily,ETHUSDT,1w,4,25.00,0.16,-10.76,12.45,0,completed
cci-optimized-daily,SOLUSDT,1h,279,45.88,0.47,-35.92,36.83,0,completed
cci-optimized-daily,SOLUSDT,4h,114,51.75,0.59,-18.80,20.25,0,completed
cci-optimized-daily,SOLUSDT,1d,37,62.16,1.05,-0.48,7.85,0,completed
cci-optimized-daily,SOLUSDT,1w,0,0,0,0,0,0,no_trades
cci-optimized-daily,XRPUSDT,1h,238,45.38,0.48,-31.26,31.30,0,completed
cci-optimized-daily,XRPUSDT,4h,80,58.75,1.15,-0.14,9.16,0,completed
cci-optimized-daily,XRPUSDT,1d,35,54.29,2.24,17.39,4.19,0,completed
cci-optimized-daily,XRPUSDT,1w,3,33.33,0.52,-1.00,1.91,0,completed
cci-trend-rider,BTCUSDT,1h,159,38.36,0.54,-16.29,16.75,0,completed
cci-trend-rider,BTCUSDT,4h,46,34.78,0.48,-9.47,9.47,0,completed
cci-trend-rider,BTCUSDT,1d,7,57.14,0.80,-0.66,1.80,0,completed
cci-trend-rider,BTCUSDT,1w,3,100.00,Infinity,1.60,0.00,0,completed
cci-trend-rider,ETHUSDT,1h,162,42.59,0.62,-15.68,15.75,0,completed
cci-trend-rider,ETHUSDT,4h,40,52.50,0.81,-4.20,5.30,0,completed
cci-trend-rider,ETHUSDT,1d,10,50.00,0.32,-6.38,7.14,0,completed
cci-trend-rider,ETHUSDT,1w,0,0,0,0,0,0,no_trades
cci-trend-rider,SOLUSDT,1h,164,40.24,0.58,-19.84,20.62,0,completed
cci-trend-rider,SOLUSDT,4h,40,55.00,1.06,-1.30,4.02,0,completed
cci-trend-rider,SOLUSDT,1d,8,50.00,0.14,-8.83,9.96,0,completed
cci-trend-rider,SOLUSDT,1w,0,0,0,0,0,0,no_trades
cci-trend-rider,XRPUSDT,1h,179,36.87,0.65,-17.73,18.86,0,completed
cci-trend-rider,XRPUSDT,4h,44,45.45,0.53,-6.81,8.37,0,completed
cci-trend-rider,XRPUSDT,1d,14,64.29,1.20,0.31,3.60,0,completed
cci-trend-rider,XRPUSDT,1w,0,0,0,0,0,0,no_trades
chaikin-money-flow,BTCUSDT,1h,192,44.79,0.63,-16.06,16.06,0,completed
chaikin-money-flow,BTCUSDT,4h,48,45.83,0.97,-2.59,2.97,0,completed
chaikin-money-flow,BTCUSDT,1d,21,47.62,0.73,-2.63,3.79,0,completed
chaikin-money-flow,BTCUSDT,1w,0,0,0,0,0,0,no_trades
chaikin-money-flow,ETHUSDT,1h,202,37.62,0.57,-19.66,19.81,0,completed
chaikin-money-flow,ETHUSDT,4h,59,40.68,0.49,-10.83,11.89,0,completed
chaikin-money-flow,ETHUSDT,1d,21,66.67,1.05,-0.34,3.93,0,completed
chaikin-money-flow,ETHUSDT,1w,0,0,0,0,0,0,no_trades
chaikin-money-flow,SOLUSDT,1h,198,39.39,0.64,-19.27,20.27,0,completed
chaikin-money-flow,SOLUSDT,4h,58,34.48,0.20,-20.99,21.80,0,completed
chaikin-money-flow,SOLUSDT,1d,12,41.67,0.87,-1.46,3.93,0,completed
chaikin-money-flow,SOLUSDT,1w,3,66.67,7.18,4.62,0.76,0,completed
chaikin-money-flow,XRPUSDT,1h,194,47.94,0.54,-20.43,20.88,0,completed
chaikin-money-flow,XRPUSDT,4h,57,56.14,1.08,-2.05,2.13,0,completed
chaikin-money-flow,XRPUSDT,1d,15,73.33,4.12,8.36,1.71,0,completed
chaikin-money-flow,XRPUSDT,1w,2,100.00,Infinity,2.71,0.00,0,completed
chande-momentum-crypto,BTCUSDT,1h,141,36.88,0.61,-13.03,14.04,0,completed
chande-momentum-crypto,BTCUSDT,4h,63,46.03,0.70,-7.02,9.11,0,completed
chande-momentum-crypto,BTCUSDT,1d,15,53.33,0.86,-1.35,2.31,0,completed
chande-momentum-crypto,BTCUSDT,1w,5,60.00,0.44,-2.37,3.24,0,completed
chande-momentum-crypto,ETHUSDT,1h,125,39.20,0.49,-14.99,15.19,0,completed
chande-momentum-crypto,ETHUSDT,4h,54,51.85,0.81,-4.74,5.71,0,completed
chande-momentum-crypto,ETHUSDT,1d,8,62.50,1.65,0.95,1.06,0,completed
chande-momentum-crypto,ETHUSDT,1w,1,0.00,0.00,-2.33,2.33,0,completed
chande-momentum-crypto,SOLUSDT,1h,131,50.38,0.63,-14.24,15.20,0,completed
chande-momentum-crypto,SOLUSDT,4h,50,54.00,0.70,-6.71,8.69,0,completed
chande-momentum-crypto,SOLUSDT,1d,9,77.78,2.95,2.19,0.89,0,completed
chande-momentum-crypto,SOLUSDT,1w,1,100.00,Infinity,0.61,0.00,0,completed
chande-momentum-crypto,XRPUSDT,1h,99,45.45,0.62,-10.52,10.62,0,completed
chande-momentum-crypto,XRPUSDT,4h,40,47.50,0.58,-7.57,8.27,0,completed
chande-momentum-crypto,XRPUSDT,1d,5,60.00,1.74,0.83,1.08,0,completed
chande-momentum-crypto,XRPUSDT,1w,0,0,0,0,0,0,no_trades
connors-rsi2-original,BTCUSDT,1h,269,69.14,1.42,-5.74,5.98,0,completed
connors-rsi2-original,BTCUSDT,4h,85,48.24,0.83,-7.08,7.89,0,completed
connors-rsi2-original,BTCUSDT,1d,25,72.00,2.51,5.21,2.04,0,completed
connors-rsi2-original,BTCUSDT,1w,7,100.00,Infinity,12.00,0.00,0,completed
connors-rsi2-original,ETHUSDT,1h,253,60.87,0.99,-11.87,13.37,0,completed
connors-rsi2-original,ETHUSDT,4h,78,58.97,1.16,-1.91,6.32,0,completed
connors-rsi2-original,ETHUSDT,1d,18,61.11,1.71,4.38,2.29,0,completed
connors-rsi2-original,ETHUSDT,1w,4,75.00,6.15,2.64,0.56,0,completed
connors-rsi2-original,SOLUSDT,1h,295,69.15,1.71,5.77,9.79,0,completed
connors-rsi2-original,SOLUSDT,4h,90,61.11,1.51,4.41,3.93,0,completed
connors-rsi2-original,SOLUSDT,1d,33,54.55,1.17,0.82,5.82,0,completed
connors-rsi2-original,SOLUSDT,1w,4,25.00,0.93,-0.56,6.18,0,completed
connors-rsi2-original,XRPUSDT,1h,252,66.27,1.40,-3.10,9.52,0,completed
connors-rsi2-original,XRPUSDT,4h,82,60.98,1.02,-3.30,4.86,0,completed
connors-rsi2-original,XRPUSDT,1d,19,57.89,1.65,4.89,3.58,0,completed
connors-rsi2-original,XRPUSDT,1w,3,100.00,Infinity,5.95,0.00,0,completed
cumulative-rsi-r3,BTCUSDT,1h,60,40.00,0.57,-5.95,6.59,0,completed
cumulative-rsi-r3,BTCUSDT,4h,25,52.00,0.86,-1.89,2.84,0,completed
cumulative-rsi-r3,BTCUSDT,1d,7,57.14,1.78,0.71,1.34,0,completed
cumulative-rsi-r3,BTCUSDT,1w,1,100.00,Infinity,1.12,0.00,0,completed
cumulative-rsi-r3,ETHUSDT,1h,49,38.78,0.38,-6.59,6.69,0,completed
cumulative-rsi-r3,ETHUSDT,4h,19,21.05,0.15,-7.48,7.74,0,completed
cumulative-rsi-r3,ETHUSDT,1d,4,100.00,Infinity,1.99,0.00,0,completed
cumulative-rsi-r3,ETHUSDT,1w,1,100.00,Infinity,1.93,0.00,0,completed
cumulative-rsi-r3,SOLUSDT,1h,51,56.86,0.93,-3.07,5.40,0,completed
cumulative-rsi-r3,SOLUSDT,4h,22,59.09,0.79,-2.34,4.97,0,completed
cumulative-rsi-r3,SOLUSDT,1d,8,62.50,0.74,-1.63,3.89,0,completed
cumulative-rsi-r3,SOLUSDT,1w,0,0,0,0,0,0,no_trades
cumulative-rsi-r3,XRPUSDT,1h,54,38.89,0.60,-6.35,7.69,0,completed
cumulative-rsi-r3,XRPUSDT,4h,14,42.86,0.43,-3.87,5.07,0,completed
cumulative-rsi-r3,XRPUSDT,1d,6,66.67,9.34,2.64,0.35,0,completed
cumulative-rsi-r3,XRPUSDT,1w,0,0,0,0,0,0,no_trades
dca-grid-hybrid,BTCUSDT,1h,0,0,0,0,0,0,no_trades
dca-grid-hybrid,BTCUSDT,4h,0,0,0,0,0,0,no_trades
dca-grid-hybrid,BTCUSDT,1d,0,0,0,0,0,0,no_trades
dca-grid-hybrid,BTCUSDT,1w,0,0,0,0,0,0,no_trades
dca-grid-hybrid,ETHUSDT,1h,0,0,0,0,0,0,no_trades
dca-grid-hybrid,ETHUSDT,4h,0,0,0,0,0,0,no_trades
dca-grid-hybrid,ETHUSDT,1d,0,0,0,0,0,0,no_trades
dca-grid-hybrid,ETHUSDT,1w,0,0,0,0,0,0,no_trades
dca-grid-hybrid,SOLUSDT,1h,0,0,0,0,0,0,no_trades
